"item","where_on_page","what_it_says","conflict_with","action","priority"
"S1","hero / cena","-45%; przekreślone 129,99 zł → 59,90 zł; „Oszczędzasz 70 zł”; Omnibus: „Poprzednia najniższa cena: 59,90 zł”","K21 + C6 + Omnibus (kotwica bez historii ceny)","Usunąć sztuczną kotwicę; pokazać 59,90 / 99,90 / 129,90 jako ceny regularne pakietów","high"
"S2","pakiety","2 opakowania 99,98 zł (przekreślone 259,98); etykieta „POPULARNY 🔥”; 3 op. „TO SIĘ OPŁACA 💸”","K20 + rozjazd ceny 99,98 vs 99,90 (brief)","Ujednolicić cenę 2-packu (99,90); etykiety „REKOMENDOWANY” / „NAJLEPSZA CENA / ZESTAW”","high"
"S3","hero bullets","✨ Widoczny efekt już od 1. nocy","K12","Zamienić na „Zakładasz wieczorem, rano sprawdzasz tę samą strefę”","high"
"S4","hero bullets","✅ Bezpieczne w ciąży i podczas karmienia","K11","Usunąć (brak dokumentacji)","high"
"S5","sekcja „Dlaczego silikon medyczny…”","silikon klasy medycznej — tego samego, który stosuje się w leczeniu blizn i gojeniu ran","K10 (właściciel potwierdził tylko 100% silikon) — jest też na opakowaniu","DECYZJA WŁAŚCICIELA: atest materiału → zostaje; brak → „100% silikon” i zmiana packu przy kolejnym nakładzie","high"
"S6","sekcja „Nie musisz wybierać…”","Botoks boli, kosztuje i wymaga odwagi. VeluSkin to skuteczna alternatywa; Efekty jak po zabiegu","K13","Przepisać: „bez igieł i bez gabinetu” jako cecha formatu, bez porównania skuteczności","high"
"S7","sekcja „Nie musisz wybierać…”","87% zauważyło zmniejszenie widoczności zmarszczek; 89% potwierdza lepsze nawilżenie po tygodniu","K19 / C5 (brak n i metody)","Dodać źródło: „w ankiecie N klientek (data)” albo usunąć","high"
"S8","social proof","„Ponad 7.000 zadowolonych klientek” / „+7240 zadowolonych użytkowniczek” / „4,7/5” vs widget „4.74 z 1558 opinii”","K18 (3 różne liczby)","Jedna liczba, jedno źródło; widget 1558 / 4,74 jako jedyny social proof","medium"
"S9","„Co o nas mówią” — 3 cytaty","Anna / Katarzyna / Ewa — *Opinia niezweryfikowana, Źródło: Facebook","Przekonanie nr 6 (fałszywy social proof)","Zastąpić zweryfikowanymi opiniami z widgetu lub realnym UGC","medium"
"S10","widget opinii","Wszystkie widoczne opinie z datą 21/07/2025; treści: „efekt jak po zabiegu”, „zbliżony do botoksu”, „jak po liftingu”","K13/K12 w treści opinii; podejrzenie importu hurtowego","Nie cytować tych opinii w reklamie; sprawdzić system opinii (czy weryfikuje zakup)","medium"
"S11","sekcja „Nasi partnerzy”","logotypy partnerów","K24 (nieznane)","Udokumentować lub usunąć","low"
"S12","„Technologia okluzji”","pobudzają skórę do intensywnej odnowy","K25","„pomagają zachować wilgoć w skórze przez noc” (C20)","medium"
"S13","nagłówek sekcji","Zatrzymaj zmarszczki – bez igieł i bólu; już po pierwszym użyciu!","K12 + C2 + C15","„Naklej VeluSkin na noc dokładnie tam, gdzie linie najbardziej Ci przeszkadzają.” (brief)","medium"
"S14","FAQ","Z czego są wykonane plastry? — 100% silikon","OK — spójne z briefem","Zostawić; to jedyne miejsce zgodne z K1","—"
