image_hash,name,size,used_in_copy,permalink_url,status
09ab91150f9381799b4ec2c0916cd084,untitled,1080x1360,"B2 — UGC-foto: kobieta (ok. 30–35, azjatycka) zakłada plaster na czoło; naklejki „Silikonowe plastry antyzmarszczkowe”, „Botoks 💉? Bez igieł i bez bólu” (K13 granica; wiek modelki poza segmentem 40–55)",https://www.facebook.com/ads/image/?d=AQL90X7L6TFWOhxxJJ_OLDs07b7j6AiH02DQnUMIkhGu2HD_KtsWwscXycGCoCG3M1PuM55gLGA4BCftHXZFrEw7CeLp3IvYCNGvCxztLJpwDkHpGjHWxzW8R2NvXuxvCYi_d0RaQD6r6Gs1Qce-_nVI,to_review
3a70479da70b4957de7e78e5feadfacc,Projekt bez nazwy (16).png,1080x1080,"B5 — AI-render półki: koralowa saszetka VeluSkin („20 użyć”) vs 4 fikcyjne kremy („wciera się w poduszkę / znika przed ranem / trzeba wcierać codziennie / zostaje na powierzchni”); nagłówek „Który z nich naprawdę zostaje na skórze przez noc?” — jedyny widok opakowania w koncie",https://www.facebook.com/ads/image/?d=AQI25J2H1X0MnjGtXPC6oc3UnzM_0eTWQMvKdQWwJgvMZJLj-v0tihLoW004Y7_5FBndfdb4EcWM4JhEkG8g_DhS4k-MV0anwFbWCiXDFltfUt0rwK4wR5XXtidLDkS1ctSff0oxBT-pY2iRK8iUuk6k,to_review
a3be0280c40fce417e747107a90dd5c4,1.png,1080x1350,B7 (-45% — needs_rewrite),https://www.facebook.com/ads/image/?d=AQIJUzl_8pobMXL0ZxKxJjqu0qxpsaoI7jDWhPpFZn6ZkDnbM5HQEyeMr2CR2_CccoErdIrg0z8_8KosHq970PuZj_Fslb9H8sZWDTTBoAskmFbKxRzhpYLjieU6yC2xUmaJR6OI5JRnsS4OW2k-Xthh,to_review
39b6ced640869465dfa16c5dba0ecaa4,4.png,1080x1080,B8 (advertorial „Córka pytała”),https://www.facebook.com/ads/image/?d=AQKnBzr1uMivtZi1YeUAMOPPwTjfyw0yc84ZOvTHSeoXDgv3LPUYhGZkKO8Jkea4WVUR7FBwpcMD9cFvZtsHs6aWlzWBo072OLAbARgd0tqCDpsnfNYQsk0cbyXKLH-lxx4f_NDx7Tmu7QN22Fso7WVz,to_review
93e1b5b6be758208092322f4e1635e71,7.png,1080x1080,B9 (advertorial „Mąż / botoks”),https://www.facebook.com/ads/image/?d=AQJLxUtr1GHCatz9ftMiXagIQu_whN9T45Cau69B_mTGO072X8sMuK6kVE2kykeXfdCIasO_IGLsGy1W87rUONFwrhsq40glEj1S9xWlf61ePcZttvAT8Slw6zJWsWAxY_baDPkB5a2CAx7wTwu0Q3nJ,to_review
c8f053ad3e1f80df5629b766e9edf673,5.png,1080x1080,B10 (advertorial „Koleżanka”),https://www.facebook.com/ads/image/?d=AQKEaHrLuZTi8ylfWipfR1Fx1w5HFsxjJ3UdAgWEWZK-gs9fmbhcF0RQA8Fd3IenzaP5TAI78lCbMI0DxI4dJinwMF3-S5UuIfhexBpdk4ag7dv0NW_2XmD0F8fdmp8lwMOMRZmMVyv4cVyKrTimLIXQ,to_review
a14c1e90c57d556393724bb24b039ab5,6.png,1080x1080,B11 (advertorial „Ślad na poduszce”),https://www.facebook.com/ads/image/?d=AQLq3_QwnhufMUrl1z89iaIvCmXTt5z3mOe723-OA8bmyXXbnr794GFqJxTF88AIkbuGT148ZTKBkTwyLLBQ2F4T9nSnf8Un6t93HtrWmMigVSLDzAhahicqCTEZo5vxLxRGATWRHxz7rYBQJ_gTZdRI,to_review
d2c3770dfe49965541f213679b909eaa,6.png,1080x1350,B12 (bez igieł — needs_rewrite),https://www.facebook.com/ads/image/?d=AQIqvtRK6x5Zf_4bVR0-hWyWpVlHcdfeaS4bN35l5YTKfQdxszqn7e0yfCJVEI-nn8DV68ZVRIb7we06mDrSEjVTWoqDHKySJntRb4TmrDHV0nan5bcd4kDfeV-GzDkJwoszhBVT7-656gtrfg65NLBO,to_review
04b1450f654b9c6d70651b3db2775723,4.png,1080x1350,B13 (koszt vs krem),https://www.facebook.com/ads/image/?d=AQLtxIGBWJTuxfQDmAjBNEpkDDpFt88txy72SUpZTxyE3JnJhgfrwhfSEvzrtddkWJ4MDOeIxsPaoRdBkWPV32MilZrG6ZE2wzisQzuNBdseXkaEc8N5hacaEtlrta3I5gCrIANF1tG89kuCFDnFJFcc,to_review
a0a303b56acc6e1f4e93ff19755e82f2,5.png,1080x1350,B14 (Wygładź zmarszczki przez sen),https://www.facebook.com/ads/image/?d=AQLZd5E4IlGoEyUNHoWmBQQAIkez08FAAjl96FKbVnERKbl_lUgAcWjYvRVXDus4JqsFxq4-coqrwrXkS6FHQFjocS5Qt_EL6_Jz_MCcT8q8C78VUbZlX4qNXRu8Y5T12tWjheZJIjCrfb7YtUa7Vsp5,to_review
67876322fe0c119db69b75d45fb58a64,2.png,1080x1350,B15 (Mój plan 2026),https://www.facebook.com/ads/image/?d=AQJuI8qhy1_xxjkf4r9MtJVycvvTNPWtF7J3xp1NuvcRqCMYZluCriIcBDEbkEHA1jLSuVmDzceV-ALf3MYl58gcHUJRQVQ8G12EIzWWQsTewJnU-D18wyIp94UZJWDVDC-fkedj4l5jLN9ZJIXxdKNA,to_review
