rank,type,brand,why,facebook_page_url,gethookd_brand_id,status
1,direct,Wrinkles Schminkles,"Lider kategorii; retail authority + pełne pokrycie twarzy; winning tier 100",TODO verify (https://www.facebook.com/wrinklesschminkles),18066,draft
2,direct,SoSmooth Skincare,"Najlepsze copy value/cost-per-use i social proof w skali",TODO verify,70793,draft
3,direct,111SKIN,"Premium + autorytet chirurga; overnight needle-free",TODO verify,159278,draft
4,direct,Scarlette,"W researchu jako główny wzorzec advertorialu i kąta emocjonalnego; 18 tys. recenzji; uczy struktury, nie claimów",TODO verify (https://www.facebook.com/tryscarlette),323640,draft
4b,direct (rezerwa),Dermaclara,"Dodany przez właściciela; nie występuje w researchu; brak w winning pull — sprawdzić brand-spy zanim zajmie miejsce w 10",TODO verify (https://www.facebook.com/dermaclara),TODO,reserve
5,direct,SiO Beauty,"Dekolt + „jedna noc” hook; osobny produkt/kąt",TODO verify,31662,draft
6,adjacent,Hers (forhers),"Telehealth: normalizuje „zabiegi w domu” spokojnym, klinicznym tonem — kąt anti-stigma, którego kategoria plastrów nie używa",TODO verify (https://www.facebook.com/forhers),TODO,draft
7,adjacent,Glossier,"Minimalistyczny beauty aesthetic + realna skóra (pory/tekstura) — wizualny język premium bez retuszu",TODO verify (https://www.facebook.com/glossier),TODO,draft
8,adjacent,Yope,"Polska marka; przewrotny, lekki humor po polsku bez taniości — ton, który chcemy przenieść",TODO verify (https://www.facebook.com/yope.pl),TODO,draft
9,adjacent,Resibo,"Polski naturalny skincare; szczere, bezpośrednie copy do kobiet 30–50; PL natywność",TODO verify (https://www.facebook.com/resibo),TODO,draft
10,adjacent,Eight Sleep,"Kategoria snu: „obudź się lepsza” — kąt overnight/regeneracji opowiedziany od strony poranka, nie zabiegu",TODO verify (https://www.facebook.com/eightsleep),TODO,draft
